NODE_9_length_3842_cov_27.242963,Viral_Rep
NODE_6256_length_416_cov_3.289086,HNH_3
NODE_62553_length_244_cov_5.203593,N6_N4_Mtase
NODE_62499_length_245_cov_0.702381,Ldh_1_N
NODE_6246_length_416_cov_0.991176,SSB
NODE_62423_length_245_cov_0.797619,tRNA-synt_1
NODE_622_length_1027_cov_21.380000,Ribosomal_S7
NODE_6229_length_417_cov_1.997059,SpoU_methylase
NODE_62289_length_245_cov_0.875000,RNaseH_like
NODE_62237_length_245_cov_0.875000,DUF3486
NODE_62203_length_245_cov_0.880952,Dodecin
NODE_6216_length_417_cov_6.358824,Phage_Mu_F
NODE_62166_length_245_cov_0.880952,Plug
NODE_62133_length_245_cov_0.880952,DNA_methylase
NODE_62092_length_245_cov_0.880952,Bac_DNA_binding
NODE_6196_length_418_cov_1.445748,Hydrolase_3
NODE_6179_length_418_cov_3.498534,Peptidase_M20
NODE_6177_length_418_cov_3.982405,ABC_tran
NODE_6161_length_419_cov_1.520468,GHMP_kinases_C
NODE_615_length_1033_cov_2.215481,Peptidase_M24
NODE_61583_length_245_cov_3.339286,Guanylate_cyc
NODE_61567_length_245_cov_3.464286,DUF1599
NODE_6150_length_419_cov_2.201754,DUF2179
NODE_61493_length_245_cov_4.964286,HGTP_anticodon
NODE_61458_length_245_cov_8.357143,DAHP_synth_1
NODE_6141_length_419_cov_3.669591,Ribosomal_S8
NODE_61389_length_246_cov_0.727811,DNA_ligase_aden
NODE_6137_length_419_cov_5.236842,Peptidase_M13
NODE_612_length_1035_cov_3.890397,ACT_4 Lactamase_B
NODE_61184_length_246_cov_0.869822,MobA_MobL
NODE_61128_length_246_cov_0.869822,TipAS
NODE_610_length_1036_cov_6.709072,HAD_2
NODE_6109_length_420_cov_1.909621,RusA
NODE_60_length_2377_cov_6.196522,SRP_SPB SRP54 YlqD Ribosomal_S16 KH_4
NODE_609_length_1037_cov_2.900000,IF3_C IF3_N Ribosomal_L35p
NODE_6096_length_420_cov_3.489796,Elong-fact-P_C EFP
NODE_6088_length_420_cov_59.408163,Ribosomal_L29
NODE_6084_length_421_cov_0.877907,FTSW_RODA_SPOVE
NODE_607_length_1039_cov_2.922037,RNase_T
NODE_606_length_1040_cov_2.651090,ResIII
NODE_6056_length_421_cov_7.793605,SusD_RagB
NODE_6048_length_422_cov_1.101449,Epimerase
NODE_60463_length_246_cov_3.260355,Ribosomal_L16
NODE_60420_length_246_cov_3.449704,MoaC
NODE_603_length_1041_cov_6.146266,HNH_3
NODE_60392_length_246_cov_3.502959,MoaC
NODE_6031_length_422_cov_1.959420,DUF3467
NODE_6030_length_422_cov_2.000000,BioW
NODE_60294_length_247_cov_0.682353,N6_N4_Mtase
NODE_60235_length_247_cov_0.758824,Caa3_CtaG
NODE_60228_length_247_cov_0.764706,Cpn60_TCP1
NODE_60200_length_247_cov_0.800000,HATPase_c
NODE_601_length_1043_cov_10.589027,Ala_racemase_N
NODE_60196_length_247_cov_0.805882,HRDC
NODE_60174_length_247_cov_0.829412,Amidase
NODE_5_length_4814_cov_12.303145,ATP-synt ATP-synt_ab_N ATP-synt_ab_C OSCP ATP-synt_B ATP-synt_ab ATP-synt_C
NODE_599_length_1044_cov_3.844881,CbiA
NODE_5993_length_423_cov_1.528902,DcuC
NODE_59927_length_247_cov_0.870588,Putative_PNPOx
NODE_598_length_1045_cov_5.695248,SpoIID
NODE_59842_length_247_cov_0.870588,SPOR
NODE_59780_length_247_cov_0.900000,PP-binding
NODE_59774_length_247_cov_0.947059,EF_TS
NODE_5976_length_423_cov_3.118497,OTCace
NODE_59739_length_247_cov_1.147059,KH_2
NODE_59736_length_247_cov_1.188235,KTSC
NODE_5965_length_424_cov_0.806916,Peptidase_M20
NODE_5962_length_424_cov_0.945245,MGS
NODE_595_length_1046_cov_12.942208,Ribosomal_L2 Ribosomal_L2_C Ribosomal_S19
NODE_59500_length_247_cov_1.735294,GARS_C
NODE_59481_length_247_cov_1.882353,tRNA-synt_2
NODE_5939_length_424_cov_2.783862,Nuc_H_symport
NODE_59384_length_247_cov_2.576471,Guanylate_kin
NODE_5936_length_424_cov_3.149856,DnaB_C
NODE_59269_length_247_cov_3.417647,N6_N4_Mtase
NODE_5912_length_425_cov_1.793103,Thioredoxin
NODE_590_length_1052_cov_4.171282,ERF YqaJ
NODE_59064_length_248_cov_0.748538,RNA_pol_Rpb2_6
NODE_5899_length_425_cov_3.905172,Ribonuclease_P
NODE_58975_length_248_cov_0.853801,DnaB
NODE_58969_length_248_cov_0.853801,Peptidase_S11
NODE_58957_length_248_cov_0.853801,CPSase_L_D2
NODE_58941_length_248_cov_0.859649,VirJ
NODE_58846_length_248_cov_0.859649,tRNA-synt_2b
NODE_587_length_1053_cov_2.925205,AhpC-TSA
NODE_58762_length_248_cov_0.865497,CPSase_L_D2
NODE_5869_length_426_cov_2.177650,AMP-binding
NODE_58464_length_248_cov_1.707602,HATPase_c
NODE_5841_length_427_cov_1.791429,HNH_4
NODE_58352_length_248_cov_2.315789,AIRC
NODE_582_length_1057_cov_4.716327,Prenyltransf
NODE_5828_length_427_cov_4.680000,CCG
NODE_58169_length_248_cov_3.415205,Thiolase_C
NODE_58151_length_248_cov_3.438596,N6_N4_Mtase
NODE_58112_length_248_cov_4.280702,Thiolase_C
NODE_58030_length_249_cov_0.715116,Transketolase_N
NODE_57_length_2407_cov_6.038197,SNO SOR_SNZ
NODE_579_length_1059_cov_2.409369,Ribosomal_L30 Ribosomal_S5_C Ribosomal_L27A
NODE_578_length_1059_cov_3.828921,Peptidase_Prp Ribosomal_L21p Ribosomal_L27
NODE_57816_length_249_cov_0.854651,GSCFA
NODE_57779_length_249_cov_0.854651,ABC_tran
NODE_57773_length_249_cov_0.854651,N6_N4_Mtase
NODE_5765_length_429_cov_1.596591,EFG_C
NODE_57541_length_249_cov_1.162791,N6_N4_Mtase
NODE_5746_length_430_cov_0.841360,TPR_10
NODE_57465_length_249_cov_1.412791,DUF1800
NODE_5739_length_430_cov_1.436261,MreB_Mbl
NODE_57394_length_249_cov_1.691860,Muraidase
NODE_5738_length_430_cov_1.458924,Glycos_transf_1
NODE_57376_length_249_cov_1.691860,GATase_2
NODE_57327_length_249_cov_1.703488,EFG_C
NODE_572_length_1064_cov_3.159068,ASL_C Lyase_1
NODE_570_length_1065_cov_6.321862,SusD_RagB
NODE_57065_length_249_cov_3.406977,PALP
NODE_5702_length_431_cov_0.833333,SusD-like_3
NODE_56940_length_250_cov_0.705202,Phosphonate-bd
NODE_5682_length_431_cov_2.014124,DUF2695
NODE_567_length_1066_cov_5.490909,MarR
NODE_5678_length_431_cov_2.403955,Fer4_8
NODE_56747_length_250_cov_0.849711,HTH_3
NODE_56723_length_250_cov_0.849711,HTH_12
NODE_5668_length_431_cov_3.918079,Phage_H_T_join
NODE_5667_length_431_cov_4.220339,1-cysPrx_C AhpC-TSA
NODE_565_length_1067_cov_7.791919,Ldh_1_N Ldh_1_C
NODE_5658_length_432_cov_0.830986,HNH_3
NODE_5654_length_432_cov_1.073239,Na_H_Exchanger
NODE_56512_length_250_cov_0.861272,DUF559
NODE_563_length_1070_cov_1.320242,Ribosomal_L11_N Ribosomal_L11
NODE_56343_length_250_cov_1.682081,Ribosomal_S19
NODE_56321_length_250_cov_1.687861,Hydrolase_3
NODE_5629_length_432_cov_3.470423,Acyl-ACP_TE
NODE_56111_length_250_cov_2.543353,Usp
NODE_56109_length_250_cov_2.543353,DNA_ligase_OB
NODE_560_length_1071_cov_6.016097,PFK
NODE_56067_length_250_cov_2.988439,Methyltransf_24
NODE_56021_length_250_cov_3.398844,Ribosomal_S2
NODE_55_length_2409_cov_8.814322,TPR_2 TPR_19 TPR_8 PBP_like_2
NODE_55952_length_250_cov_5.034682,P-II
NODE_55937_length_250_cov_5.976879,Sigma70_r4_2
NODE_558_length_1073_cov_5.273092,Peptidase_M50
NODE_5575_length_433_cov_12.469101,EFG_C
NODE_55727_length_251_cov_0.839080,P22_Cro
NODE_5571_length_434_cov_0.400560,PGK
NODE_55641_length_251_cov_0.844828,Phage_T7_tail
NODE_55622_length_251_cov_0.844828,OTCace
NODE_55581_length_251_cov_0.844828,Sigma54_DBD
NODE_5554_length_434_cov_2.165266,Glyco_hydro_125
NODE_55471_length_251_cov_0.850575,Gly_radical
NODE_5539_length_434_cov_5.086835,Glycos_transf_1
NODE_5532_length_435_cov_0.779330,KH_1
NODE_5529_length_435_cov_1.000000,Peptidase_M22
NODE_55277_length_251_cov_1.557471,Peripla_BP_6
NODE_55259_length_251_cov_1.643678,Adenylsucc_synt
NODE_5517_length_435_cov_1.896648,Phage_stabilise
NODE_5513_length_435_cov_2.220670,OsmC
NODE_55102_length_251_cov_1.706897,S-AdoMet_synt_N
NODE_55090_length_251_cov_1.948276,1-cysPrx_C
NODE_5504_length_435_cov_17.837989,Ribosomal_S20p
NODE_55048_length_251_cov_2.459770,N6_N4_Mtase
NODE_54_length_2414_cov_22.354300,KH_1 RNase_PH_C S1 PNPase RNase_PH
NODE_549_length_1080_cov_3.637089,RNase_E_G
NODE_5494_length_436_cov_1.155989,Chorismate_bind
NODE_54904_length_251_cov_3.327586,Ribosomal_L33
NODE_54890_length_251_cov_3.356322,SIP
NODE_5484_length_435_cov_1.844011,NUMOD3
NODE_546_length_1086_cov_8.114965,POR_N PFOR_II
NODE_5464_length_437_cov_0.786111,RelB
NODE_5460_length_437_cov_0.991667,DUF2461
NODE_5456_length_437_cov_1.194444,PGI
NODE_54540_length_252_cov_0.840000,RsgA_GTPase
NODE_5449_length_437_cov_1.858333,SprA_N
NODE_543_length_1087_cov_8.002967,dCMP_cyt_deam_1
NODE_54354_length_252_cov_0.845714,RusA
NODE_54336_length_252_cov_0.845714,Mur_ligase_M
NODE_5427_length_437_cov_109.480556,Ribosomal_L33 DUF4295
NODE_541_length_1092_cov_1.784236,Glyco_hydro_92
NODE_5416_length_438_cov_1.146814,Bac_DnaA_C
NODE_54122_length_252_cov_1.617143,Fasciclin
NODE_54032_length_252_cov_1.680000,Peptidase_M48_N
NODE_53_length_2436_cov_41.734633,ExbD TonB_C
NODE_53983_length_252_cov_1.857143,Allantoicase
NODE_53952_length_252_cov_2.280000,Asp-Al_Ex
NODE_538_length_1093_cov_4.665354,BacA
NODE_53848_length_252_cov_2.514286,TIM
NODE_53797_length_252_cov_3.268571,GreA_GreB_N
NODE_5373_length_438_cov_6.778393,Ribosomal_L21p
NODE_53719_length_252_cov_4.188571,ELFV_dehydrog
NODE_536_length_1094_cov_22.490659,HSP70
NODE_53656_length_253_cov_0.681818,LRR_5
NODE_53602_length_253_cov_0.732955,Methyltrn_RNA_4
NODE_535_length_1097_cov_5.900980,DUF1292 RuvX DUF965
NODE_53411_length_253_cov_0.835227,ACT_4
NODE_5325_length_440_cov_1.757576,Phage_H_T_join
NODE_53211_length_253_cov_0.840909,Peptidase_M19
NODE_53114_length_253_cov_1.261364,GST_N_3
NODE_53101_length_253_cov_1.289773,DnaB
NODE_530_length_1102_cov_5.378537,tRNA-synt_2b ProRS-C_1 HGTP_anticodon
NODE_5306_length_441_cov_0.695055,Transposase_mut
NODE_5301_length_441_cov_0.994505,PEPCK_ATP
NODE_529_length_1103_cov_5.890838,Thioredoxin tRNA_anti-codon
NODE_52960_length_253_cov_1.659091,Terminase_1
NODE_52925_length_253_cov_1.664773,adh_short_C2
NODE_5287_length_441_cov_3.074176,E1-E2_ATPase
NODE_5282_length_441_cov_8.815934,ACT_7
NODE_527_length_1104_cov_7.558909,PNP_UDP_1
NODE_52793_length_253_cov_2.477273,Methyltransf_4
NODE_5272_length_442_cov_1.191781,NfeD
NODE_52668_length_253_cov_3.278409,LRR_8
NODE_5262_length_441_cov_2.389041,dUTPase
NODE_5251_length_442_cov_3.350685,MreB_Mbl
NODE_52415_length_254_cov_0.802260,IMPDH
NODE_523_length_1109_cov_3.107558,Peptidase_U32 Peptidase_U32_C
NODE_5239_length_443_cov_0.931694,Sipho_Gp157
NODE_52386_length_254_cov_0.819209,LepA_C
NODE_52380_length_254_cov_0.819209,Thy1
NODE_52328_length_254_cov_0.824859,N6_N4_Mtase
NODE_52326_length_254_cov_0.824859,HTH_39
NODE_52261_length_254_cov_0.830508,DAO_C
NODE_52239_length_254_cov_0.830508,Peptidase_S49
NODE_52220_length_254_cov_0.830508,RecX
NODE_52214_length_254_cov_0.830508,RNA_pol_Rpb2_6
NODE_5214_length_443_cov_4.112022,Thioredoxin
NODE_5213_length_443_cov_4.183060,Peptidase_M24
NODE_52133_length_254_cov_0.836158,Transpeptidase
NODE_5198_length_444_cov_1.253406,Peripla_BP_3
NODE_51830_length_254_cov_1.655367,Ribosomal_S6
NODE_517_length_1111_cov_3.260155,HATPase_c HisKA
NODE_51792_length_254_cov_1.661017,Amidase
NODE_51760_length_254_cov_1.796610,Ribonuc_red_lgC
NODE_5175_length_444_cov_18.893733,Bac_DNA_binding
NODE_51747_length_254_cov_2.118644,malic
NODE_51740_length_254_cov_2.158192,Phage_TAC_4
NODE_5171_length_445_cov_1.127717,ELFV_dehydrog
NODE_516_length_1111_cov_3.444874,Helicase_C
NODE_51696_length_254_cov_2.457627,FKBP_C
NODE_5165_length_445_cov_1.451087,GHMP_kinases_N
NODE_51624_length_254_cov_2.491525,Pkinase
NODE_5161_length_445_cov_1.774457,Peripla_BP_3
NODE_51584_length_254_cov_3.000000,SecY
NODE_514_length_1112_cov_3.934300,HD tRNA_NucTran2_2 PolyA_pol_RNAbd
NODE_5145_length_446_cov_0.734417,DNA_pol_A
NODE_513_length_1112_cov_5.109179,Oxidored_q6
NODE_5137_length_446_cov_1.582656,MscL
NODE_51369_length_255_cov_0.713483,IspD
NODE_51307_length_255_cov_0.764045,GLF
NODE_512_length_1112_cov_17.321739,2-Hacid_dh_C
NODE_51255_length_255_cov_0.814607,PP-binding
NODE_5118_length_447_cov_1.410811,PASTA
NODE_5113_length_447_cov_1.943243,DUF4468
NODE_5110_length_447_cov_2.310811,S1
NODE_51104_length_255_cov_0.825843,Transpeptidase
NODE_51067_length_255_cov_0.831461,RNA_pol
NODE_51065_length_255_cov_0.831461,DUF932
NODE_51014_length_255_cov_0.831461,Chlor_dismutase
NODE_50_length_2499_cov_14.635425,Glyco_hydro_18
NODE_5099_length_447_cov_14.497297,Peptidase_M24
NODE_5097_length_448_cov_1.301887,Aminotran_5
NODE_508_length_1119_cov_3.161228,PGK
NODE_50836_length_255_cov_1.365169,E1_dh
NODE_507_length_1120_cov_2.348993,DUF3799
NODE_50718_length_255_cov_1.640449,RelA_SpoT
NODE_50653_length_255_cov_1.691011,PDH
NODE_50638_length_255_cov_2.011236,P22_Cro
NODE_50564_length_255_cov_2.455056,Muraidase
NODE_50549_length_255_cov_2.460674,Glyco_transf_28
NODE_5049_length_449_cov_2.698925,HTH_18
NODE_50468_length_255_cov_3.213483,Desulfoferrodox
NODE_5045_length_449_cov_4.077957,DUF1232
NODE_5044_length_449_cov_4.596774,Terminase_6C
NODE_50403_length_255_cov_3.814607,Chalcone_3
NODE_503_length_1122_cov_8.974163,Ribosomal_S21
NODE_5032_length_450_cov_1.091153,Complex1_30kDa
NODE_502_length_1123_cov_4.103250,G5 3D
NODE_5021_length_450_cov_2.136729,Phage_integrase
NODE_501_length_1124_cov_3.078319,DUF4369
NODE_50182_length_256_cov_0.804469,DUF4422
NODE_5016_length_450_cov_2.664879,DHFR_1
NODE_50078_length_256_cov_0.821229,PDT
NODE_5005_length_451_cov_0.762032,Phage_AlpA
NODE_4_length_5116_cov_18.119468,Ribosomal_L1 Ribosomal_L12 Ribosomal_L11_N Ribosomal_L10 Ribosomal_L11 Ribosomal_L12_N
NODE_49_length_2529_cov_5.924959,UPF0051
NODE_49991_length_256_cov_0.826816,IMS
NODE_4998_length_451_cov_1.395722,FTSW_RODA_SPOVE
NODE_49941_length_256_cov_0.826816,Cyclase
NODE_49847_length_256_cov_0.826816,Response_reg
NODE_4982_length_451_cov_3.155080,Ribosomal_L3
NODE_496_length_1127_cov_3.054286,SAICAR_synt
NODE_4965_length_452_cov_1.517333,Ribosomal_L23
NODE_495_length_1127_cov_3.494286,GDP_Man_Dehyd
NODE_49577_length_256_cov_1.631285,Cyclase
NODE_494_length_1127_cov_5.967619,Transpeptidase
NODE_49453_length_256_cov_2.402235,VirB8
NODE_49414_length_256_cov_2.441341,Pribosyl_synth
NODE_49405_length_256_cov_2.446927,OSCP
NODE_493_length_1127_cov_8.724762,DUF4359
NODE_4926_length_453_cov_1.630319,NAD_Gly3P_dh_C
NODE_4922_length_453_cov_1.989362,DnaB_C
NODE_491_length_1128_cov_6.755471,Cytochrom_C552
NODE_49130_length_257_cov_0.716667,Phage_lysozyme
NODE_49092_length_257_cov_0.755556,Phage_capsid
NODE_48_length_2549_cov_10.449029,SecY ADK Ribosomal_S13 Ribosomal_L36 Peptidase_M24 eIF-1a
NODE_48978_length_257_cov_0.816667,NUDIX
NODE_4895_length_454_cov_1.612732,Cytochrom_C552
NODE_48835_length_257_cov_0.822222,DUF305
NODE_48821_length_257_cov_0.822222,CM_2
NODE_48694_length_257_cov_0.944444,Aconitase
NODE_48683_length_257_cov_1.033333,GreA_GreB
NODE_48673_length_257_cov_1.122222,tRNA-synt_1e
NODE_4864_length_455_cov_1.367725,Catalase-rel
NODE_485_length_1135_cov_3.492439,NusB
NODE_4859_length_455_cov_1.997354,SecG
NODE_48585_length_257_cov_1.377778,ACCA
NODE_48563_length_257_cov_1.472222,UDPG_MGDP_dh_C
NODE_48554_length_257_cov_1.538889,Mur_ligase
NODE_48540_length_257_cov_1.583333,Penicillinase_R
NODE_484_length_1135_cov_9.058601,CLP_protease zf-C4_ClpX
NODE_48491_length_257_cov_1.622222,FAD_binding_2
NODE_4843_length_455_cov_4.481481,Thy1
NODE_4841_length_455_cov_5.402116,GlutR_dimer
NODE_4840_length_455_cov_5.428571,SusD_RagB
NODE_48310_length_257_cov_2.433333,Ala_racemase_C
NODE_48302_length_257_cov_2.438889,SecE
NODE_482_length_1136_cov_34.230406,F_bP_aldolase
NODE_481_length_1137_cov_4.305660,Sigma70_r2 Sigma70_r3 Sigma70_r4
NODE_48102_length_257_cov_5.888889,Phage_portal
NODE_480_length_1138_cov_3.954760,OmpA
NODE_4809_length_457_cov_1.057895,HSP70
NODE_48050_length_258_cov_0.712707,tRNA-synt_1_2
NODE_48018_length_258_cov_0.734807,Sulfatase
NODE_47991_length_258_cov_0.773481,TPR_12
NODE_47949_length_258_cov_0.801105,Mu-like_gpT
NODE_4789_length_457_cov_5.865789,YceG
NODE_47833_length_258_cov_0.812155,RelA_SpoT
NODE_4782_length_458_cov_1.076115,Peptidase_S8
NODE_477_length_1142_cov_113.772770,Sigma70_r4_2 Sigma70_r2
NODE_4779_length_457_cov_1.351706,Transket_pyr Transketolase_C
NODE_47780_length_258_cov_0.812155,RusA
NODE_4776_length_458_cov_1.530184,ABM
NODE_4774_length_458_cov_1.698163,NIF3
NODE_475_length_1143_cov_2.891182,Bac_DNA_binding
NODE_4757_length_458_cov_4.992126,Sigma54_DBD
NODE_4754_length_458_cov_7.036745,NTP_transferase
NODE_4741_length_459_cov_1.191099,DUF350
NODE_473_length_1147_cov_2.756075,SecY eIF-1a
NODE_472_length_1148_cov_6.164332,Cys_Met_Meta_PP
NODE_47246_length_258_cov_2.408840,SSB
NODE_471_length_1147_cov_12.982260,OmpA
NODE_47194_length_258_cov_2.430939,Pterin_bind
NODE_47180_length_258_cov_2.436464,Ribosomal_L29
NODE_47155_length_258_cov_2.541436,DUF436
NODE_47108_length_258_cov_3.232044,Exonuc_VII_S
NODE_470_length_1149_cov_2.606343,ClpB_D2-small AAA_2
NODE_4702_length_460_cov_0.937337,Transgly
NODE_47020_length_258_cov_6.419890,Translat_reg
NODE_46_length_2598_cov_26.974613,ACP_syn_III Thiolase_N FAE1_CUT1_RppA DUF177 ACP_syn_III_C Ribosomal_L32p
NODE_4690_length_460_cov_2.237598,N6_N4_Mtase
NODE_46896_length_259_cov_0.780220,Ldh_2
NODE_46859_length_259_cov_0.796703,Bac_DnaA_C
NODE_467_length_1150_cov_1.655172,CarboxypepD_reg
NODE_46755_length_259_cov_0.807692,HATPase_c
NODE_46738_length_259_cov_0.807692,tRNA_Me_trans
NODE_46732_length_259_cov_0.807692,GDPD
NODE_466_length_1150_cov_16.933830,Gly_radical
NODE_4669_length_461_cov_0.835938,RNA_pol_Rpb2_6
NODE_46546_length_259_cov_0.917582,CHU_C
NODE_4648_length_461_cov_16.268229,Ribosomal_S14
NODE_46446_length_259_cov_1.368132,Aldose_epim
NODE_4642_length_462_cov_1.264935,Bac_surface_Ag
NODE_4641_length_462_cov_1.379221,UvrD_C_2
NODE_46413_length_259_cov_1.445055,NUMOD4
NODE_46390_length_259_cov_1.576923,MscL
NODE_46388_length_259_cov_1.576923,ClpB_D2-small
NODE_4635_length_462_cov_2.464935,Ribosomal_S15
NODE_46265_length_259_cov_1.626374,YGGT
NODE_46251_length_259_cov_1.664835,PG_binding_1
NODE_46192_length_259_cov_2.346154,DUF836
NODE_460_length_1157_cov_14.630556,PALP
NODE_46092_length_259_cov_2.428571,Ala_racemase_N
NODE_4605_length_463_cov_2.300518,DUF2179
NODE_4602_length_463_cov_2.613990,Terminase_6C
NODE_4600_length_463_cov_3.476684,Phage_gp49_66
NODE_45_length_2616_cov_12.225679,Clp_N AAA_2 ClpB_D2-small AAA UVR
NODE_459_length_1158_cov_1.272895,Band_7 DUF551
NODE_4598_length_463_cov_4.093264,SIS
NODE_4596_length_463_cov_4.518135,Pribosyltran
NODE_45877_length_260_cov_0.732240,YdfA_immunity
NODE_45866_length_260_cov_0.748634,ATP-synt_A
NODE_4583_length_464_cov_1.467700,N6_N4_Mtase
NODE_45789_length_260_cov_0.797814,Pro_isomerase
NODE_4577_length_464_cov_2.186047,DALR_1
NODE_4567_length_464_cov_4.155039,HNH_3
NODE_45653_length_260_cov_0.803279,Peptidase_M50
NODE_4561_length_464_cov_20.173127,Cupin_2
NODE_4553_length_465_cov_0.922680,FdtA
NODE_454_length_1160_cov_17.371191,RNA_pol_A_CTD Ribosomal_L17 RNA_pol_L RNA_pol_A_bac
NODE_4547_length_465_cov_1.422680,AIRS_C
NODE_45431_length_260_cov_1.185792,N6_N4_Mtase
NODE_45429_length_260_cov_1.185792,Thioredoxin
NODE_45419_length_260_cov_1.207650,Acyl-CoA_dh_1
NODE_45413_length_260_cov_1.207650,SSB
NODE_45403_length_260_cov_1.245902,GDP_Man_Dehyd
NODE_4536_length_465_cov_2.708763,HSP20
NODE_4532_length_465_cov_6.345361,SusF_SusE
NODE_452_length_1162_cov_6.852535,Pox_A32
NODE_45254_length_260_cov_1.601093,S1
NODE_451_length_1163_cov_2.709024,EPSP_synthase RimM
NODE_45192_length_260_cov_1.672131,Phage_sheath_1C
NODE_45117_length_260_cov_2.387978,PALP
NODE_45075_length_260_cov_2.404372,Thy1
NODE_44_length_2627_cov_4.748726,Aminotran_1_2 MotA_ExbB ExbD
NODE_449_length_1168_cov_6.368469,KH_1 RNase_PH S1
NODE_44995_length_260_cov_3.174863,tRNA-synt_2
NODE_44981_length_260_cov_3.202186,Ala_racemase_C
NODE_44947_length_260_cov_3.961749,DUF1896
NODE_44941_length_260_cov_3.978142,NinB
NODE_44884_length_260_cov_60.169399,Ribosomal_L16
NODE_44874_length_261_cov_0.673913,CTP_synth_N
NODE_44820_length_261_cov_0.728261,2Fe-2S_thioredx
NODE_4479_length_467_cov_2.692308,Ribosomal_S20p
NODE_44702_length_261_cov_0.793478,Cytidylate_kin
NODE_446_length_1171_cov_2.117916,AAA MgsA_C Sigma54_activat AAA_assoc_2
NODE_44692_length_261_cov_0.793478,DnaB_C
NODE_4463_length_468_cov_1.386189,N6_N4_Mtase
NODE_44633_length_261_cov_0.798913,Aminotran_5
NODE_44606_length_261_cov_0.798913,MinE
NODE_445_length_1171_cov_4.621572,GTP_EFTU_D2 GTP_EFTU GTP_EFTU_D3
NODE_44575_length_261_cov_0.798913,Cys_Met_Meta_PP
NODE_4451_length_468_cov_2.268542,TP_methylase
NODE_44506_length_261_cov_0.804348,FAD_binding_4
NODE_4434_length_469_cov_1.576531,dTDP_sugar_isom
NODE_4427_length_469_cov_2.295918,Phage_Mu_F
NODE_44269_length_261_cov_1.548913,DNA_pol_B_thumb
NODE_4420_length_469_cov_4.520408,Thy1
NODE_44180_length_261_cov_1.592391,TrkA_C
NODE_44172_length_261_cov_1.592391,Ribosom_S12_S23
NODE_44042_length_261_cov_2.385870,Gp_dh_C
NODE_439_length_1179_cov_64.756806,Gp_dh_N Gp_dh_C
NODE_43951_length_261_cov_3.163043,CBS
NODE_4392_length_470_cov_3.628499,Desulfoferrodox
NODE_43908_length_261_cov_3.782609,Pyr_redox_2
NODE_437_length_1182_cov_2.468354,SecY
NODE_4374_length_471_cov_1.682741,GTP_cyclohydro2
NODE_4367_length_471_cov_1.997462,TP_methylase
NODE_43666_length_262_cov_0.789189,YlqD
NODE_43612_length_262_cov_0.794595,HSP70
NODE_4358_length_471_cov_4.500000,Peptidase_S13
NODE_4352_length_472_cov_0.751899,LeuA_dimer
NODE_4345_length_471_cov_1.579747,tRNA-synt_2d
NODE_4344_length_472_cov_1.637975,P22_CoatProtein
NODE_433_length_1184_cov_74.691057,PALP
NODE_43318_length_262_cov_1.189189,Lum_binding
NODE_432_length_1186_cov_4.497746,Ribosomal_S11 Ribosomal_S4 S4
NODE_4329_length_472_cov_4.030380,GrpE
NODE_4322_length_472_cov_11.749367,Acetate_kinase
NODE_43221_length_262_cov_1.556757,VirE
NODE_4321_length_472_cov_0.618687,Radical_SAM_N
NODE_43210_length_262_cov_1.562162,Glyco_transf_8
NODE_4319_length_473_cov_1.189394,DUF5309
NODE_4318_length_473_cov_1.282828,Trans_reg_C
NODE_4313_length_473_cov_1.520202,NTP_transferase
NODE_4311_length_473_cov_1.866162,RuvA_C HHH_5
NODE_4303_length_473_cov_3.229798,GSHPx
NODE_429_length_1191_cov_81.630493,Ribosomal_S6 Ribosomal_S18
NODE_4291_length_474_cov_0.833753,ELFV_dehydrog ELFV_dehydrog_N
NODE_428_length_1193_cov_2.252688,GATase
NODE_42778_length_263_cov_0.602151,LuxS
NODE_42689_length_263_cov_0.763441,LacAB_rpiB
NODE_42538_length_263_cov_0.790323,SecE
NODE_42536_length_263_cov_0.790323,Ribosomal_L13
NODE_42402_length_263_cov_0.795699,Gp_dh_N
NODE_42319_length_263_cov_1.026882,BCA_ABC_TP_C
NODE_42316_length_263_cov_1.053763,CorC_HlyC
NODE_422_length_1196_cov_2.249330,PC4 Ribosomal_L31
NODE_42283_length_263_cov_1.188172,Lactamase_B
NODE_4227_length_476_cov_2.979950,ABC_tran
NODE_421_length_1196_cov_82.849866,OmpA
NODE_42179_length_263_cov_1.553763,DUF4055
NODE_4215_length_477_cov_0.790000,Phage_capsid
NODE_42144_length_263_cov_1.569892,BacA
NODE_42130_length_263_cov_1.575269,DeoRC
NODE_4208_length_477_cov_1.862500,ATP-synt_C
NODE_4207_length_477_cov_1.925000,Peptidase_M20
NODE_4203_length_477_cov_2.162500,Ligase_CoA
NODE_42015_length_263_cov_2.220430,5-FTHF_cyc-lig
NODE_41_length_2662_cov_6.841779,POTRA
NODE_419_length_1198_cov_8.837645,TNT
NODE_4199_length_477_cov_2.555000,Sipho_Gp157
NODE_4197_length_477_cov_2.670000,ABC_tran
NODE_4196_length_477_cov_2.670000,DUF4954
NODE_4195_length_477_cov_2.977500,Semialdhyde_dhC
NODE_41916_length_263_cov_2.376344,AI-2E_transport
NODE_4188_length_478_cov_0.725686,Phage_tail_APC
NODE_4187_length_478_cov_0.950125,Toprim_2
NODE_41875_length_263_cov_3.107527,Pro_isomerase
