Locus_tag	Product	Start	End	Length
CJCOGG_01229	Uncharacterized protein YhdV	296193	296414	221
CJCOGG_01230	hypothetical protein	296520	296810	290
CJCOGG_01231	multidrug efflux RND transporter permease subunit AcrF	296667	299771	3104
CJCOGG_01232	multidrug efflux RND transporter periplasmic adaptor subunit AcrE	299783	300940	1157
CJCOGG_01233	multidrug efflux transporter transcriptional repressor AcrS	301339	302001	662
CJCOGG_01234	Inner membrane protein YhdU	302004	302183	179
CJCOGG_01235	adenine-specific DNA-methyltransferase	302267	303151	884
CJCOGG_01236	DNA-binding transcriptional regulator Fis	303237	303533	296
CJCOGG_01237	tRNA dihydrouridine synthase DusB	303559	304524	965
CJCOGG_01238	50S ribosomal protein L11 methyltransferase	304853	305734	881
CJCOGG_01239	sodium/pantothenate symporter	305746	307197	1451
CJCOGG_01240	Uncharacterized membrane protein YhdT	307187	307429	242
CJCOGG_01241	acetyl-CoA carboxylase biotin carboxylase subunit	307538	308887	1349
CJCOGG_01242	acetyl-CoA carboxylase biotin carboxyl carrier protein	308898	309368	470
CJCOGG_01243	hypothetical protein	309510	309671	161
CJCOGG_01244	putative acrylyl-CoA reductase AcuI	310346	311320	974
CJCOGG_01245	RNase E specificity factor CsrD	311472	313412	1940
CJCOGG_01246	rod shape-determining protein MreB	313717	314760	1043
CJCOGG_01247	rod shape-determining protein MreC	314826	315929	1103
CJCOGG_01248	rod shape-determining protein MreD	315929	316417	488
CJCOGG_01249	nucleoside triphosphate pyrophosphatase YhdE	316426	317019	593
CJCOGG_01250	ribonuclease G	317009	318478	1469
CJCOGG_01251	AsmA2 domain-containing protein YhdP	318546	322346	3800
CJCOGG_01252	metalloprotease TldD	322502	323947	1445
CJCOGG_01253	HTH-type transcriptional activator AaeR	324075	325004	929
CJCOGG_01254	p-hydroxybenzoic acid efflux pump operon protein AaeX	325187	325390	203
CJCOGG_01255	p-hydroxybenzoic acid efflux pump subunit AaeA	325398	326330	932
CJCOGG_01256	p-hydroxybenzoic acid efflux pump subunit AaeB	326336	328303	1967
CJCOGG_01257	Uncharacterized protein YhcO	328395	328667	272
CJCOGG_01258	peroxide/acid stress response protein YhcN	328723	328986	263
CJCOGG_01259	transcriptional regulator ArgR	329351	329821	470
CJCOGG_01260	malate dehydrogenase	330256	331194	938
CJCOGG_01261	outer membrane-stress sensor serine endopeptidase DegS	331257	332324	1067
CJCOGG_01262	serine endoprotease DegQ	332414	333781	1367
CJCOGG_01263	Z-ring associated protein ZapG	333935	334333	398
CJCOGG_01264	cell division protein ZapE	334527	335654	1127
CJCOGG_01265	50S ribosomal protein L13	335873	336301	428
CJCOGG_01266	30S ribosomal protein S9	336317	336709	392
CJCOGG_01267	stringent starvation protein SspA	337104	337742	638
CJCOGG_01268	ClpXP protease specificity-enhancing factor	337748	338245	497
CJCOGG_01269	anaerobic C4-dicarboxylate transporter DcuC	338288	339655	1367
CJCOGG_01270	transcriptional regulator NanR	340035	340826	791
CJCOGG_01271	N-acetylneuraminate lyase	340948	341841	893
CJCOGG_01272	sialic acid transporter NanT	341950	343440	1490
CJCOGG_01273	Putative N-acetylmannosamine-6-phosphate 2-epimerase	343488	344177	689
CJCOGG_01274	N-acetylmannosamine kinase	344174	345049	875
CJCOGG_01275	N-acetylneuraminate anomerase	345046	345510	464
CJCOGG_01276	IS3 family transposase	345586	345891	305
CJCOGG_01277	Protein	345908	346387	479
CJCOGG_01278	glutamate synthase subunit GltD	346571	347989	1418
CJCOGG_01279	glutamate synthase large subunit	348002	352555	4553
CJCOGG_01280	TIGR01212 family radical SAM protein	353137	354066	929
CJCOGG_01281	aerobic respiration two-component sensor histidine kinase ArcB	354162	356498	2336
CJCOGG_01283	isoprenoid biosynthesis glyoxalase ElbB	356728	357381	653
CJCOGG_01284	monofunctional biosynthetic peptidoglycan transglycosylase	357378	358106	728
CJCOGG_01285	PhoP regulatory network protein YrbL	358103	358735	632
CJCOGG_01286	PTS phosphocarrier protein NPr	358948	359220	272
CJCOGG_01287	RNase adapter RapZ	359217	360071	854
CJCOGG_01288	PTS IIA-like nitrogen regulatory protein PtsN	360117	360608	491
CJCOGG_01289	ribosome hibernation promoting factor	360726	361013	287
CJCOGG_01290	RNA polymerase factor sigma-54	361036	362469	1433
CJCOGG_01291	LPS export ABC transporter ATP-binding protein	362517	363242	725
CJCOGG_01292	lipopolysaccharide ABC transporter substrate-binding protein LptA	363249	363806	557
CJCOGG_01293	LPS export ABC transporter periplasmic protein LptC	363775	364350	575
CJCOGG_01294	3-deoxy-manno-octulosonate-8-phosphatase KdsC	364347	364913	566
CJCOGG_01295	arabinose-5-phosphate isomerase KdsD	364934	365920	986
CJCOGG_01296	calcium/sodium antiporter	365934	366911	977
CJCOGG_01297	phospholipid ABC transporter ATP-binding protein MlaF	367121	367930	809
CJCOGG_01298	lipid asymmetry maintenance ABC transporter permease subunit MlaE	367938	368720	782
CJCOGG_01299	outer membrane lipid asymmetry maintenance protein MlaD	368725	369276	551
CJCOGG_01300	phospholipid-binding protein MlaC	369295	369930	635
CJCOGG_01301	phospholipid-binding protein MlaC	369930	370223	293
CJCOGG_01302	BolA family iron metabolism protein IbaG	370368	370637	269
CJCOGG_01303	UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA	370692	371951	1259
CJCOGG_01304	DNA-binding transcriptional regulator SfsB	371999	372277	278
CJCOGG_01305	octaprenyl diphosphate synthase	372505	373476	971
CJCOGG_01306	50S ribosomal protein L21	373735	374046	311
CJCOGG_01307	50S ribosomal protein L27	374067	374324	257
CJCOGG_01308	Uncharacterized inner membrane transporter YhbE	374451	375416	965
CJCOGG_01309	Obg family GTPase CgtA	375432	376604	1172
CJCOGG_01310	serine-type D-Ala-D-Ala carboxypeptidase	376644	378077	1433
CJCOGG_01311	transcription elongation factor GreA	378325	378801	476
CJCOGG_01312	ribosome assembly RNA-binding protein YhbY	378957	379250	293
CJCOGG_01313	23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE	379376	380005	629
CJCOGG_01314	ATP-dependent zinc metalloprotease FtsH	380096	382039	1943
CJCOGG_01315	dihydropteroate synthase FolP	382129	382977	848
CJCOGG_01316	phosphoglucosamine mutase	382970	384307	1337
CJCOGG_01317	preprotein translocase subunit SecG	384535	384867	332
CJCOGG_01319	Putative transferase YhbX	385533	387050	1517
CJCOGG_01320	argininosuccinate synthase	387058	388401	1343
CJCOGG_01322	ribosome maturation factor RimP	389032	389484	452
CJCOGG_01323	Transcription termination/antitermination protein NusA	389512	390999	1487
CJCOGG_01324	translation initiation factor IF-2	391024	393696	2672
CJCOGG_01326	30S ribosome-binding factor RbfA	393860	394261	401
CJCOGG_01327	tRNA pseudouridine(55) synthase TruB	394261	395205	944
CJCOGG_01328	30S ribosomal protein S15	395354	395623	269
CJCOGG_01330	polyribonucleotide nucleotidyltransferase	395870	398005	2135
CJCOGG_01331	lipoprotein NlpI	398114	398998	884
CJCOGG_01332	Uncharacterized protein YrbN	399105	399185	80
CJCOGG_01333	ATP-dependent RNA helicase DeaD	399178	401067	1889
CJCOGG_01334	tryptophan permease	401221	402465	1244
CJCOGG_01335	luciferase-like monooxygenase	402583	403590	1007
CJCOGG_01336	U32 family peptidase	403796	404674	878
CJCOGG_01337	Ubiquinone biosynthesis protein UbiU	404683	405678	995
CJCOGG_01338	Ubiquinone biosynthesis accessory factor UbiT	405887	406411	524
CJCOGG_01339	Uncharacterized N-acetyltransferase YhbS	406405	406908	503
CJCOGG_01340	DNA damage response exodeoxyribonuclease YhbQ	406895	407206	311
CJCOGG_01341	YhbP family protein	407248	407691	443
CJCOGG_01342	protein/nucleic acid deglycase	407671	408189	518
CJCOGG_01343	Putative NAD(P)-binding protein YraR	408317	408952	635
CJCOGG_01344	UPF0718 protein YraQ	409025	410065	1040
CJCOGG_01345	division/outer membrane stress-associated lipid-binding lipoprotein	410179	410754	575
CJCOGG_01346	DnaA initiator-associating protein DiaA	410764	411354	590
CJCOGG_01347	YraN family protein	411374	411769	395
CJCOGG_01348	penicillin-binding protein activator LpoA	411727	413763	2036
CJCOGG_01349	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	413827	414687	860
CJCOGG_01350	Fimbrial protein	414730	415821	1091
CJCOGG_01351	Outer membrane usher protein YraJ	415832	418348	2516
CJCOGG_01352	putative fimbrial chaperone YraI	418378	419073	695
CJCOGG_01353	Fimbrial protein	419153	419737	584
CJCOGG_01354	galactosamine-6-phosphate isomerase	420137	420838	701
CJCOGG_01355	PTS galactosamine transporter subunit IID	420893	421684	791
CJCOGG_01356	PTS galactosamine transporter subunit IIC	421674	422477	803
CJCOGG_01357	PTS galactosamine transporter subunit IIB	422516	422992	476
CJCOGG_01358	tagatose-bisphosphate aldolase subunit KbaY	423159	424019	860
CJCOGG_01359	AgaS family sugar isomerase	424032	425186	1154
CJCOGG_01360	N-acetylglucosamine-6-phosphate deacetylase	425536	426669	1133
CJCOGG_01361	PTS galactosamine/N-acetylgalactosamine transporter subunit IIA	426666	427100	434
CJCOGG_01362	PTS N-acetylgalactosamine transporter subunit IID	427118	427996	878
CJCOGG_01363	PTS N-acetylgalactosamine transporter subunit IIC	427986	428765	779
CJCOGG_01364	PTS N-acetylgalactosamine transporter subunit IIB	428776	429249	473
CJCOGG_01365	tagatose-bisphosphate aldolase subunit KbaZ	429272	430552	1280
CJCOGG_01366	aga operon transcriptional regulator AgaR	430801	431610	809
CJCOGG_01367	type II toxin-antitoxin system ribonuclease toxin YhaV	431665	432129	464
CJCOGG_01368	type II toxin-antitoxin system antitoxin PrlF	432129	432464	335
CJCOGG_01369	galactarate dehydratase	432613	434184	1571
CJCOGG_01370	galactarate/glucarate/glycerate transporter GarP	434558	435892	1334
CJCOGG_01371	2-dehydro-3-deoxyglucarate aldolase	435908	436678	770
CJCOGG_01372	2-hydroxy-3-oxopropionate reductase	436708	437598	890
CJCOGG_01373	glycerate 2-kinase	437695	438840	1145
CJCOGG_01375	IS110 family IS621 transposase	439937	440917	980
CJCOGG_01376	YhaC family protein	441255	442442	1187
CJCOGG_01377	Uncharacterized protein YhaB	442464	443003	539
CJCOGG_01378	transcriptional regulator TdcA	443792	444730	938
CJCOGG_01379	bifunctional threonine ammonia-lyase/L-serine ammonia-lyase TdcB	444829	445818	989
CJCOGG_01380	threonine/serine transporter TdcC	445840	447171	1331
CJCOGG_01381	propionate kinase	447197	448405	1208
CJCOGG_01382	2-ketobutyrate formate-lyase/pyruvate formate-lyase	448439	450733	2294
CJCOGG_01383	enamine/imine deaminase	450747	451136	389
CJCOGG_01384	L-serine ammonia-lyase	451208	452572	1364
CJCOGG_01385	putative serine transporter	452847	454178	1331
CJCOGG_01386	UPF0597 protein YhaM	454206	455516	1310
CJCOGG_01387	Uncharacterized protein YhaL	455577	455741	164
CJCOGG_01388	Pirin-like protein YhaK	455764	456465	701
CJCOGG_01389	DNA-binding transcriptional regulator YhaJ	456570	457466	896
CJCOGG_01390	IS1 family transposase	457510	457887	377
CJCOGG_01391	IS1 family IS1B transposase ORF A	457932	458207	275
CJCOGG_01392	Inner membrane protein YhaH	458317	458682	365
CJCOGG_01393	glutathionyl-hydroquinone reductase YqjG	458975	459961	986
CJCOGG_01394	Inner membrane protein YqjF	460031	460513	482
CJCOGG_01395	Uncharacterized protein YqjK	460609	460908	299
CJCOGG_01396	Inner membrane protein YqjE	460898	461302	404
CJCOGG_01397	Uncharacterized protein YqjD	461305	461610	305
CJCOGG_01398	Protein YqjC	461648	462016	368
CJCOGG_01399	EnvZ/OmpR regulon moderator MzrA	462163	462546	383
CJCOGG_01400	Inner membrane protein YqjA	462550	463212	662
CJCOGG_01401	Protein YqiM	463234	463311	77
CJCOGG_01402	transcriptional regulator ExuR	463557	464333	776
CJCOGG_01403	colonisation factor antigen a%2C chaperone	464629	465345	716
CJCOGG_01404	colonization factor antigen 1	465375	465875	500
CJCOGG_01405	colonisation factor antigen c%2C usher	465967	468651	2684
CJCOGG_01406	minor pilin and initiator	468648	469736	1088
CJCOGG_01407	hexuronate transporter ExuT	469824	471122	1298
CJCOGG_01408	glucuronate isomerase	471605	473017	1412
CJCOGG_01409	altronate dehydratase	473032	474519	1487
CJCOGG_01410	Inner membrane protein YgjV	474602	475153	551
CJCOGG_01411	serine/threonine transporter SstT	475158	476402	1244
CJCOGG_01412	TerC family membrane protein Alx	476801	477766	965
CJCOGG_01413	Uncharacterized oxidoreductase YgjR	478049	479035	986
CJCOGG_01414	Uncharacterized protein YgjQ	479114	479797	683
CJCOGG_01415	UTP pyrophosphatase	479874	480377	503
CJCOGG_01416	23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG	480462	481598	1136
CJCOGG_01417	type II toxin-antitoxin system antitoxin HigA	481869	482285	416
CJCOGG_01418	NADPH-dependent 2%2C4-dienoyl-CoA reductase	482330	484348	2018
CJCOGG_01420	alpha-glucosidase	484674	487025	2351
CJCOGG_01421	protein YgjJ	487042	488112	1070
CJCOGG_01422	Inner membrane transporter YgjI	488246	489679	1433
CJCOGG_01423	beta-galactosidase subunit beta	489742	490191	449
CJCOGG_01424	beta-galactosidase subunit alpha	490188	493280	3092
CJCOGG_01425	transcriptional regulator EbgR	493464	494447	983
CJCOGG_01426	tRNA-binding protein	494666	494998	332
CJCOGG_01427	putrescine aminotransferase	495040	496530	1490
CJCOGG_01428	aerotaxis sensor receptor Aer	496837	498357	1520
CJCOGG_01429	DNA-binding transcriptional regulator NfeR	498511	499134	623
CJCOGG_01430	NADPH-dependent ferric chelate reductase	499411	500175	764
CJCOGG_01432	G/U mismatch-specific DNA glycosylase	500429	500935	506
CJCOGG_01433	RNA polymerase sigma factor RpoD	501013	502854	1841
CJCOGG_01434	DNA primase	503049	504794	1745
CJCOGG_01435	30S ribosomal protein S21	504905	505120	215
CJCOGG_01436	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	505357	506370	1013
CJCOGG_01437	L-tartrate/succinate antiporter	506413	507876	1463
CJCOGG_01438	L(+)-tartrate dehydratase subunit beta	507925	508530	605
CJCOGG_01439	L(+)-tartrate dehydratase subunit alpha	508527	509438	911
CJCOGG_01440	DNA-binding transcriptional activator TtdR	509645	510577	932
CJCOGG_01441	glycerol-3-phosphate 1-O-acyltransferase PlsY	510590	511207	617
CJCOGG_01442	bifunctional dihydroneopterin aldolase/7%2C8-dihydroneopterin epimerase	511312	511680	368
CJCOGG_01443	undecaprenyl-diphosphate phosphatase	511771	512592	821
CJCOGG_01444	fused tRNA nucleotidyltransferase/2'%2C3'-cyclic phosphodiesterase/2' nucleotidase/phosphatase Cca	512755	513993	1238
CJCOGG_01445	TIGR04211 family SH3 domain-containing protein	514057	514677	620
CJCOGG_01446	inorganic triphosphatase	514919	516220	1301
CJCOGG_01447	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	516243	519083	2840
CJCOGG_01448	bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE	519131	520564	1433
CJCOGG_01450	Type I toxin-antitoxin system Ibs family toxin	520684	520743	59
CJCOGG_01452	Small toxic protein IbsD	521060	521119	59
CJCOGG_01453	Flotillin family inner membrane protein YqiK	521358	523019	1661
CJCOGG_01454	Inner membrane protein YqiJ	523046	523675	629
CJCOGG_01455	cell surface composition regulator GlgS	523944	524144	200
CJCOGG_01456	Uncharacterized protein YqiI	524187	525251	1064
CJCOGG_01457	Uncharacterized fimbrial chaperone YqiH	525253	526002	749
CJCOGG_01458	Putative outer membrane usher protein YqiG	526018	528531	2513
CJCOGG_01459	fimbrial-like protein	528582	529133	551
CJCOGG_01460	ubiquinone biosynthesis accessory factor UbiK	529416	529706	290
CJCOGG_01461	3%2C4-dihydroxy-2-butanone 4-phosphate synthase	530080	530733	653
CJCOGG_01462	zinc transporter ZupT	531222	531995	773
CJCOGG_01463	4%2C5-DOPA dioxygenase extradiol	532111	532926	815
CJCOGG_01464	Glutathionylspermidine synthase	532964	534124	1160
CJCOGG_01465	DUF1190 domain-containing protein	534130	534801	671
CJCOGG_01466	outer membrane channel protein TolC	534949	536430	1481
CJCOGG_01467	ADP-ribose diphosphatase	536635	537264	629
CJCOGG_01468	DUF1249 domain-containing protein	537265	537687	422
CJCOGG_01469	3'%2C5'-cyclic-AMP phosphodiesterase	537712	538539	827
CJCOGG_01470	3'%2C5'-cyclic-AMP phosphodiesterase	538539	539120	581
CJCOGG_01471	DNA topoisomerase 4 subunit B	539149	541041	1892
CJCOGG_01472	putative quinol monooxygenase YgiN	541089	541403	314
CJCOGG_01473	NADPH:quinone oxidoreductase MdaB	541434	542015	581
CJCOGG_01474	Inner membrane protein YgiZ	542334	542666	332
CJCOGG_01475	quorum sensing histidine kinase QseC	542712	544061	1349
CJCOGG_01476	Transcriptional regulatory protein QseB	544058	544717	659
CJCOGG_01477	OB fold stress tolerance protein YgiW	544869	545261	392
CJCOGG_01478	putative transcriptional regulator YgiV	545314	545796	482
CJCOGG_01479	hypothetical protein	546115	546204	89
CJCOGG_01480	DNA topoisomerase IV subunit A ParC	546342	548600	2258
CJCOGG_01481	1-acylglycerol-3-phosphate O-acyltransferase	548833	549570	737
CJCOGG_01482	cell division protein FtsP	549645	551057	1412
CJCOGG_01483	YgiQ family radical SAM protein	551168	553387	2219
CJCOGG_01484	lipoprotein YqhH	553430	553687	257
CJCOGG_01485	Uncharacterized protein YqhG	553738	554664	926
CJCOGG_01486	2%2C5-didehydrogluconate reductase DkgA	554864	555691	827
CJCOGG_01488	alcohol dehydrogenase	555796	556959	1163
CJCOGG_01489	DNA-binding transcriptional regulator YqhC	557096	558052	956
CJCOGG_01490	Inner membrane protein YghB	558092	558751	659
CJCOGG_01491	cystathionine beta-lyase	558891	560078	1187
CJCOGG_01492	tol-pal system-associated acyl-CoA thioesterase	560330	561064	734
CJCOGG_01493	TonB system transport protein ExbD	561071	561496	425
CJCOGG_01494	NADP(+)-dependent aldehyde reductase	561535	562419	884
CJCOGG_01495	UPF0114 protein YqhA	562610	563104	494
CJCOGG_01496	L-glyceraldehyde 3-phosphate reductase	563144	564184	1040
CJCOGG_01497	YghX family hydrolase	564341	565228	887
CJCOGG_01498	Uncharacterized protein YghW	565347	565634	287
CJCOGG_01499	hydrogenase 2 small subunit	565823	566941	1118
CJCOGG_01500	hydrogenase 2 operon protein HybA	566944	567930	986
CJCOGG_01501	Ni/Fe-hydrogenase cytochrome b subunit	567920	569098	1178
CJCOGG_01502	hydrogenase 2 large subunit	569095	570798	1703
CJCOGG_01503	HyaD/HybD family hydrogenase maturation endopeptidase	570798	571292	494
CJCOGG_01504	hydrogenase-2 assembly chaperone	571285	571773	488
CJCOGG_01505	hydrogenase maturation nickel metallochaperone HypA	571766	572107	341
CJCOGG_01506	hydrogenase maturation factor HybG	572120	572368	248
CJCOGG_01507	IS110 family IS621 transposase	572490	573470	980
CJCOGG_01509	glutathione-dependent disulfide-bond oxidoreductase	573770	574636	866
CJCOGG_01510	bifunctional glutathionylspermidine amidase/synthase	574841	576700	1859
CJCOGG_01511	inorganic phosphate transporter PitB	576992	578491	1499
CJCOGG_01512	Uncharacterized ATP-binding protein YghT	578540	579232	692
CJCOGG_01513	Uncharacterized ATP-binding protein YghS	579421	580119	698
CJCOGG_01514	Uncharacterized ATP-binding protein YghR	580151	580909	758
CJCOGG_01515	Inner membrane protein YghQ	580955	582304	1349
CJCOGG_01516	Ybl138	582304	583128	824
CJCOGG_01517	Transcriptional regulator	583140	583700	560
CJCOGG_01518	LPS export ABC transporter permease LptF	583731	584801	1070
CJCOGG_01519	LPS export ABC transporter permease LptG	584798	585877	1079
CJCOGG_01520	serine palmitoyltransferase	585912	587084	1172
CJCOGG_01521	Acyl carrier protein	587084	587332	248
CJCOGG_01522	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans%2C octacis-undecaprenol 4-epimerase	587364	588278	914
CJCOGG_01523	Acyl-CoA synthetase	588275	589996	1721
CJCOGG_01524	Protein YghO	590367	591509	1142
CJCOGG_01525	transcriptional regulator GlcC	591516	592280	764
CJCOGG_01526	glycolate oxidase subunit GlcD	592531	594030	1499
CJCOGG_01527	glycolate oxidase subunit GlcE	594030	595082	1052
CJCOGG_01528	glycolate oxidase subunit GlcF	595093	596316	1223
CJCOGG_01529	glycolate oxidase subunit GlcF	596321	596725	404
CJCOGG_01530	malate synthase G	596747	598918	2171
CJCOGG_01532	glycolate permease GlcA	599274	600956	1682
CJCOGG_01533	lipoprotein metalloprotease SslE	601442	606007	4565
CJCOGG_01534	prepilin peptidase PppA	606147	606956	809
CJCOGG_01535	Lipoprotein YghG	607022	607432	410
CJCOGG_01536	type II secretion system protein GspC	607591	608409	818
CJCOGG_01537	general secretion pathway protein D	608439	610499	2060
CJCOGG_01538	general secretion pathway protein E	610499	611992	1493
CJCOGG_01539	general secretion pathway protein F	611992	613215	1223
CJCOGG_01540	general secretion pathway protein G	613232	613687	455
CJCOGG_01541	general secretion pathway protein H	613691	614254	563
CJCOGG_01542	general secretion pathway protein I	614251	614622	371
CJCOGG_01543	general secretion pathway protein J	614619	615218	599
CJCOGG_01544	general secretion pathway protein K	615221	616198	977
CJCOGG_01545	general secretion pathway protein L	616195	617373	1178
CJCOGG_01546	GspM family type II secretion system protein YghD	617375	617911	536
CJCOGG_01547	DUF4942 domain-containing protein	618192	619034	842
CJCOGG_01548	Toxin	619538	619915	377
CJCOGG_01549	Cytoskeleton bundling-enhancing protein CbeA	619962	620339	377
CJCOGG_01550	CP4-44 prophage	620419	620640	221
CJCOGG_01551	DNA repair protein	620727	621203	476
CJCOGG_01552	Antirestriction protein	621219	621692	473
CJCOGG_01553	Aec71	621994	622812	818
CJCOGG_01554	UPF0401 protein c3666	622912	623145	233
CJCOGG_01555	Aec69	623224	623679	455
CJCOGG_01556	Membrane protein%2C yeeR	623755	626271	2516
CJCOGG_01557	Ag43/Cah family autotransporter adhesin	626392	629511	3119
CJCOGG_01559	G domain-containing protein	629845	630717	872
CJCOGG_01560	Transcriptional regulator	630827	631846	1019
CJCOGG_01561	Adhesin	633140	633355	215
CJCOGG_01562	Malate transporter	633341	633913	572
CJCOGG_01563	AlpA family transcriptional regulator	633999	634205	206
CJCOGG_01564	Hemolysin expression modulator Hha	634904	635116	212
CJCOGG_01565	hypothetical protein	635356	635529	173
CJCOGG_01566	Inovirus Gp2 family protein	635733	636302	569
CJCOGG_01567	DNA-directed RNA polymerase%2C beta subunit/140 kD subunit	636470	636853	383
CJCOGG_01568	DNA-directed RNA polymerase%2C beta subunit/140 kD subunit	636843	637262	419
CJCOGG_01569	hypothetical protein	637268	637450	182
CJCOGG_01570	DNA-binding protein	637571	638194	623
CJCOGG_01571	hypothetical protein	638290	638523	233
CJCOGG_01572	type VI secretion system contractile sheath small subunit	639274	639771	497
CJCOGG_01573	type VI secretion system contractile sheath large subunit	639793	641154	1361
CJCOGG_01574	Bacteriophage T5 Orf172 DNA-binding domain-containing protein	641256	642500	1244
CJCOGG_01575	DNA 3'-5' helicase	642736	644481	1745
CJCOGG_01576	Galectin domain-containing protein	644543	644851	308
CJCOGG_01577	Transcriptional regulator IbrB	644906	645133	227
CJCOGG_01578	SpnT protein	645502	646146	644
CJCOGG_01579	hypothetical protein	646212	646535	323
CJCOGG_01580	Transposase	646566	646763	197
CJCOGG_01581	Polyketide synthase pksM	647156	647362	206
CJCOGG_01582	Transposase%2C IS630 family	648558	648866	308
CJCOGG_01583	type VI secretion system contractile sheath small subunit	649262	649738	476
CJCOGG_01584	type VI secretion system contractile sheath large subunit	649741	651219	1478
CJCOGG_01585	type VI secretion system protein AaiC/Hcp2	651229	651735	506
CJCOGG_01586	Type VI secretion system lysozyme-related protein	651745	652167	422
CJCOGG_01587	type VI secretion system baseplate subunit TssF	652160	653962	1802
CJCOGG_01588	type VI secretion system baseplate subunit TssG	653953	654885	932
CJCOGG_01589	FHA domain-containing protein	654898	656880	1982
CJCOGG_01590	Type VI secretion protein	656891	657358	467
CJCOGG_01591	Type VI secretion protein	657368	657667	299
CJCOGG_01592	type VI secretion system protein TssA	657671	658747	1076
CJCOGG_01593	Type VI secretion protein	658755	659306	551
CJCOGG_01594	type VI secretion system baseplate subunit TssK	659325	660737	1412
CJCOGG_01595	Type VI secretion protein	660765	661079	314
CJCOGG_01596	Type IV / VI secretion system DotU domain-containing protein	661076	661666	590
CJCOGG_01597	Type VI secretion system component TssM1 N-terminal domain-containing protein	661672	665076	3404
CJCOGG_01598	type VI secretion system ATPase TssH	665080	667629	2549
CJCOGG_01599	HTH-like domain-containing protein	668066	668629	563
CJCOGG_01600	group II intron reverse transcriptase/maturase	669221	670744	1523
CJCOGG_01601	IS3 family transposase	670921	671307	386
CJCOGG_01602	Putative type VI secretion protein	671864	672013	149
CJCOGG_01603	hypothetical protein	671997	672116	119
CJCOGG_01604	Galectin domain-containing protein	672274	672390	116
CJCOGG_01605	hypothetical protein	673065	673631	566
CJCOGG_01606	ImpA-related N-terminal family protein	674110	675264	1154
CJCOGG_01607	IS66 family transposase	79	510	431
CJCOGG_01608	Mutator family transposase	573	791	218
CJCOGG_01609	serine protease autotransporter toxin Pic	942	5060	4118
CJCOGG_01610	IS3 family transposase	5225	5611	386
CJCOGG_01611	group II intron reverse transcriptase/maturase	5788	7311	1523
CJCOGG_01612	Transposase	7903	8142	239
CJCOGG_01613	IS30 family IS30 transposase	8459	9610	1151
CJCOGG_01614	Transposase	9530	9880	350
CJCOGG_01615	hypothetical protein	9950	10243	293
CJCOGG_01616	PstII restriction-modification enzyme Res subunit	10332	13202	2870
CJCOGG_01617	site-specific DNA-methyltransferase (adenine-specific)	13205	14833	1628
CJCOGG_01618	Peptidase S8/S53 domain-containing protein	14843	17230	2387
CJCOGG_01619	ATP-binding protein	17240	18220	980
CJCOGG_01620	Helicase domain-containing protein	18246	21095	2849
CJCOGG_01622	DUF2931 domain-containing protein	21506	22099	593
CJCOGG_01624	Inovirus Gp2 family protein	22565	22828	263
CJCOGG_01625	IS1 family transposase	22969	23346	377
CJCOGG_01626	IS1 family IS1A transposase ORF A	23391	23666	275
CJCOGG_01627	Integrase	24079	25341	1262
CJCOGG_01629	Uncharacterized protein YqgA	25720	26427	707
CJCOGG_01630	ornithine decarboxylase	26825	28960	2135
CJCOGG_01631	nucleoside permease NupG	29010	30266	1256
CJCOGG_01632	membrane-bound lytic murein transglycosylase MltC	30468	31547	1079
CJCOGG_01633	oxidative damage protection protein	31612	31887	275
CJCOGG_01634	A/G-specific adenine glycosylase	31915	32967	1052
CJCOGG_01635	tRNA (guanosine(46)-N7)-methyltransferase TrmB	33128	33847	719
CJCOGG_01636	Uncharacterized protein YggL	33847	34173	326
CJCOGG_01637	Uncharacterized protein YggN	34357	35076	719
CJCOGG_01638	L-asparaginase 2	35252	36298	1046
CJCOGG_01639	Uncharacterized protein YggM	36415	37422	1007
CJCOGG_01641	radical SAM family heme chaperone HemW	37577	38713	1136
CJCOGG_01642	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	38706	39299	593
CJCOGG_01643	DUF167 domain-containing protein	39307	39597	290
CJCOGG_01644	osmotic shock tolerance protein YggT	39594	40160	566
CJCOGG_01645	pyridoxal phosphate homeostasis protein	40178	40882	704
CJCOGG_01646	Uncharacterized protein YggR	40900	41880	980
CJCOGG_01647	Holliday junction resolvase RuvX	42056	42472	416
CJCOGG_01648	YqgE/AlgH family protein	42472	43107	635
CJCOGG_01649	glutathione synthase	43144	44094	950
CJCOGG_01650	16S rRNA (uracil(1498)-N(3))-methyltransferase	44107	44838	731
CJCOGG_01651	deoxyribonuclease I	44918	45625	707
CJCOGG_01652	SprT family zinc-dependent metalloprotease	45720	46175	455
